date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:41	42903/42903	---M--	200	added ('OK')	image/jpeg	etag:%22cf7647ad2147d01:0%22	http://www.livebroker.com.au/livebroker/files/ab/ab2367b7-87ec-4e15-8461-9bafda8012a9.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/ab/ab2367b7-87ec-4e15-8461-9bafda8012a9.jpg	(from http://www.livebroker.com.au/)
10:54:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:40%20GMT	http://www.livebroker.com.au/getattachment/1c4dec12-c0e3-4ad3-8971-633f2ffa7639/%e2%80%8bLenders-Mortgage-Insurance-(LMI).aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/1c4dec12-c0e3-4ad3-8971-633f2ffa7639/%e2%80%8bLenders-Mortgage-Insurance-(LMI).3a.delayed	(from http://www.livebroker.com.au/)
10:54:41	26323/26323	---M--	200	added ('OK')	image/png	etag:%22a5e14c5af33d01:0%22	https://authoring.livebroker.com.au/media/LiveBroker/General/profile-large-icon.png	C:/temp/websites/livebroker/LiveBroker/authoring.livebroker.com.au/media/LiveBroker/General/profile-large-icon.png	(from http://www.livebroker.com.au/)
10:54:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:40%20GMT	http://www.livebroker.com.au/getattachment/5ede3efb-bbf0-4aff-9c1c-d70bd9f8fdbc/%e2%80%8bHome-Loan-Pre-Approval.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/5ede3efb-bbf0-4aff-9c1c-d70bd9f8fdbc/%e2%80%8bHome-Loan-Pre-Approval.3c.delayed	(from http://www.livebroker.com.au/)
10:54:42	26250/26250	---M--	200	added ('OK')	image/png	etag:%22e1de8a5af33d01:0%22	https://authoring.livebroker.com.au/media/LiveBroker/General/speechbubble-large-icon.png	C:/temp/websites/livebroker/LiveBroker/authoring.livebroker.com.au/media/LiveBroker/General/speechbubble-large-icon.png	(from http://www.livebroker.com.au/)
10:54:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:42%20GMT	http://www.livebroker.com.au/getattachment/802a967a-fa31-4329-b2eb-ceb588d988fa/Using-an-offset-account-for-your-mortgage.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/802a967a-fa31-4329-b2eb-ceb588d988fa/Using-an-offset-account-for-your-mortgage.3e.delayed	(from http://www.livebroker.com.au/)
10:54:43	13908/13908	---M--	200	added ('OK')	image/jpeg	etag:%223b166a62147d01:0%22	http://www.livebroker.com.au/livebroker/files/1c/1c4dec12-c0e3-4ad3-8971-633f2ffa7639.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/1c/1c4dec12-c0e3-4ad3-8971-633f2ffa7639.jpg	(from http://www.livebroker.com.au/)
10:54:46	14492/14492	---M--	200	added ('OK')	application/javascript	etag:%2204c2ba2f4fccf1:0%22	http://www.livebroker.com.au/Libraries/jquery-imagescroll/jquery.imageScroll.js	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Libraries/jquery-imagescroll/jquery.imageScroll.js	(from http://www.livebroker.com.au/)
10:54:46	30892/30892	---M--	200	added ('OK')	image/jpeg	etag:%225fd37ba52147d01:0%22	http://www.livebroker.com.au/livebroker/files/5e/5ede3efb-bbf0-4aff-9c1c-d70bd9f8fdbc.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/5e/5ede3efb-bbf0-4aff-9c1c-d70bd9f8fdbc.jpg	(from http://www.livebroker.com.au/)
10:54:47	26333/26333	---M--	200	added ('OK')	image/jpeg	etag:%22814f99a42147d01:0%22	http://www.livebroker.com.au/livebroker/files/80/802a967a-fa31-4329-b2eb-ceb588d988fa.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/80/802a967a-fa31-4329-b2eb-ceb588d988fa.jpg	(from http://www.livebroker.com.au/)
10:54:49	68903/68903	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:54:47%20GMT	http://www.livebroker.com.au/Calculator/How-much-can-I-borrow	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Calculator/How-much-can-I-borrow.html	(from http://www.livebroker.com.au/)
10:54:51	68871/68871	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:54:47%20GMT	http://www.livebroker.com.au/Calculator/Repayment	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Calculator/Repayment.html	(from http://www.livebroker.com.au/)
